,Atribuição,Quem_falou,Quem_faz,Quantidade_qf
16,Promove e fomenta análises interdisciplinares,"['IEP', 'IEP']",IEP,2
17,Promove e organiza a gestão do conhecimento técnico do MPRJ,"['CENPE', 'STIC', 'STIC', 'CSI', 'IEP', 'INOVA', 'INOVA']",IEP,7
18,Realiza revisões de literatura e de iniciativas de políticas públicas,"['CADG', 'STIC', 'CSI']",IEP,3
0,Apoia os CAOs e grupos,"['CADG', 'GATE']",INOVA,2
1,Avalia fluxos e processos,"['CADG', 'CENPE', 'CSI', 'IEP', 'INOVA', 'INOVA']",INOVA,6
2,Contribuição para a eleição de prioridades de atuação do MPRJ,"['CADG', 'CENPE', 'IEP', 'INOVA']",INOVA,4
3,Desenha e conduz avaliações de impacto para processos e iniciativas do MPRJ,"['CADG', 'GATE', 'IEP']",INOVA,3
4,Difunde a cultura e métodos de ideação e inovação,"['CADG', 'CADG', 'CENPE', 'CENPE', 'GATE', 'GATE', 'STIC', 'STIC', 'CSI', 'CSI', 'IEP', 'INOVA', 'INOVA']",INOVA,13
5,Difunde inovação e boas práticas sobre administração pública,"['CADG', 'CADG', 'CENPE', 'CENPE', 'GATE', 'STIC', 'CSI', 'IEP', 'INOVA']",INOVA,9
6,Difunde os métodos de pesquisa científica e uso de evidências ,['INOVA'],INOVA,1
7,Dissemina conhecimento,"['CADG', 'CENPE']",INOVA,2
8,Dá suporte técnico a casos concretos de atuação do MPRJ,['INOVA'],INOVA,1
9,Elabora diagnósticos de órgãos do Ministério Público,"['CENPE', 'IEP', 'INOVA', 'INOVA']",INOVA,4
10,Estimula a criação de rede de atores internos e externos,"['CENPE', 'STIC', 'CSI', 'IEP', 'INOVA', 'INOVA']",INOVA,6
11,Estimula e apoia a contribuição de atores externos ao trabalho dos órgãos do MPRJ,"['CENPE', 'STIC', 'CSI', 'INOVA', 'INOVA']",INOVA,5
12,Faz experimentos,"['CADG', 'CADG', 'CENPE', 'CENPE', 'GATE', 'GATE', 'STIC', 'STIC', 'CSI', 'CSI', 'IEP', 'INOVA', 'INOVA']",INOVA,13
13,Fomenta e dá suporte à integração e trabalho em conjunto entre diversos órgãos,"['CADG', 'CENPE', 'CENPE', 'STIC', 'IEP', 'INOVA']",INOVA,6
14,"Fomenta inovação, transparência, inclusão e participação na gestão pública","['CADG', 'CENPE', 'GATE', 'GATE', 'STIC', 'STIC', 'CSI', 'CSI', 'IEP', 'INOVA']",INOVA,10
15,Identifica problemas públicos relevantes,"['INOVA', 'INOVA']",INOVA,2
16,Oferece consultoria técnica,['INOVA'],INOVA,1
17,Oferece o apoio pedagógico e logístico às ações treinamento,['INOVA'],INOVA,1
18,Potencializa o impacto social do MPRJ,['CADG'],INOVA,1
19,Produz conhecimento com análise crítica,['CENPE'],INOVA,1
20,Promove a atuação sistêmica do MPRJ,"['CSI', 'IEP', 'INOVA']",INOVA,3
21,Promove e fomenta análises interdisciplinares,"['CSI', 'IEP', 'INOVA']",INOVA,3
22,Prospecta no Brasil e no mundo tendências e iniciativas de inovação,"['CADG', 'CADG', 'CENPE', 'CENPE', 'GATE', 'GATE', 'STIC', 'STIC', 'CSI', 'IEP', 'INOVA', 'INOVA']",INOVA,12
23,Realiza revisões de literatura e de iniciativas de políticas públicas,['INOVA'],INOVA,1
